index,title,slug,tags,difficulty,related_questions
283,Move Zeroes,move-zeroes,"Array,Two Pointers",Easy,27
284,Peeking Iterator,peeking-iterator,"Array,Design,Iterator",Medium,"173,251,281"
285,Inorder Successor in BST,inorder-successor-in-bst,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,"94,173,509"
286,Walls and Gates,walls-and-gates,"Array,Breadth-First Search,Matrix",Medium,"130,200,317,865,1036"
287,Find the Duplicate Number,find-the-duplicate-number,"Array,Two Pointers,Binary Search,Bit Manipulation",Medium,"41,136,142,268,645"
288,Unique Word Abbreviation,unique-word-abbreviation,"Array,Hash Table,String,Design",Medium,"170,320"
289,Game of Life,game-of-life,"Array,Matrix,Simulation",Medium,73
290,Word Pattern,word-pattern,"Hash Table,String",Easy,"205,291"
291,Word Pattern II,word-pattern-ii,"Hash Table,String,Backtracking",Medium,290
292,Nim Game,nim-game,"Math,Brainteaser,Game Theory",Easy,294
293,Flip Game,flip-game,String,Easy,294
294,Flip Game II,flip-game-ii,"Math,Dynamic Programming,Backtracking,Memoization,Game Theory",Medium,"292,293,375,464"
295,Find Median from Data Stream,find-median-from-data-stream,"Two Pointers,Design,Sorting,Heap (Priority Queue),Data Stream",Hard,"480,1953,2207"
296,Best Meeting Point,best-meeting-point,"Array,Math,Sorting,Matrix",Hard,"317,462"
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,"String,Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree",Hard,"271,449,652,765"
298,Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,"Tree,Depth-First Search,Binary Tree",Medium,"128,549,1416"
299,Bulls and Cows,bulls-and-cows,"Hash Table,String,Counting",Medium,
300,Longest Increasing Subsequence,longest-increasing-subsequence,"Array,Binary Search,Dynamic Programming",Medium,"334,354,646,673,712,1766,2096,2234"
301,Remove Invalid Parentheses,remove-invalid-parentheses,"String,Backtracking,Breadth-First Search",Hard,"20,2095"
302,Smallest Rectangle Enclosing Black Pixels,smallest-rectangle-enclosing-black-pixels,"Array,Binary Search,Depth-First Search,Breadth-First Search,Matrix",Hard,
303,Range Sum Query - Immutable,range-sum-query-immutable,"Array,Design,Prefix Sum",Easy,"304,307,325"
304,Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,"Array,Design,Matrix,Prefix Sum",Medium,"303,308"
305,Number of Islands II,number-of-islands-ii,"Array,Union Find",Hard,"200,2198"
306,Additive Number,additive-number,"String,Backtracking",Medium,872
307,Range Sum Query - Mutable,range-sum-query-mutable,"Array,Design,Binary Indexed Tree,Segment Tree",Medium,"303,308"
308,Range Sum Query 2D - Mutable,range-sum-query-2d-mutable,"Array,Design,Binary Indexed Tree,Segment Tree,Matrix",Hard,"304,307"
309,Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,"Array,Dynamic Programming",Medium,"121,122"
310,Minimum Height Trees,minimum-height-trees,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",Medium,"207,210"
311,Sparse Matrix Multiplication,sparse-matrix-multiplication,"Array,Hash Table,Matrix",Medium,
312,Burst Balloons,burst-balloons,"Array,Dynamic Programming",Hard,1042
313,Super Ugly Number,super-ugly-number,"Array,Hash Table,Math,Dynamic Programming,Heap (Priority Queue)",Medium,264
314,Binary Tree Vertical Order Traversal,binary-tree-vertical-order-traversal,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,102
315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,"Array,Binary Search,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort,Ordered Set",Hard,"327,406,493,1482,2280"
316,Remove Duplicate Letters,remove-duplicate-letters,"String,Stack,Greedy,Monotonic Stack",Medium,2157
317,Shortest Distance from All Buildings,shortest-distance-from-all-buildings,"Array,Breadth-First Search,Matrix",Hard,"286,296,1117"
318,Maximum Product of Word Lengths,maximum-product-of-word-lengths,"Array,String,Bit Manipulation",Medium,
319,Bulb Switcher,bulb-switcher,"Math,Brainteaser",Medium,"672,1037,1491"
320,Generalized Abbreviation,generalized-abbreviation,"String,Backtracking,Bit Manipulation",Medium,"78,288,411"
321,Create Maximum Number,create-maximum-number,"Stack,Greedy,Monotonic Stack",Hard,"402,670"
322,Coin Change,coin-change,"Array,Dynamic Programming,Breadth-First Search",Medium,"1025,1393,2345"
323,Number of Connected Components in an Undirected Graph,number-of-connected-components-in-an-undirected-graph,"Depth-First Search,Breadth-First Search,Union Find,Graph",Medium,"200,261,547,2218"
324,Wiggle Sort II,wiggle-sort-ii,"Array,Divide and Conquer,Sorting,Quickselect",Medium,"75,215,280,2085"
325,Maximum Size Subarray Sum Equals k,maximum-size-subarray-sum-equals-k,"Array,Hash Table",Medium,"209,303,525,713"
326,Power of Three,power-of-three,"Math,Recursion",Easy,"231,342,1889"
327,Count of Range Sum,count-of-range-sum,"Array,Binary Search,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort,Ordered Set",Hard,"315,493"
328,Odd Even Linked List,odd-even-linked-list,Linked List,Medium,725
329,Longest Increasing Path in a Matrix,longest-increasing-path-in-a-matrix,"Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Topological Sort,Memoization",Hard,
330,Patching Array,patching-array,"Array,Greedy",Hard,1930
331,Verify Preorder Serialization of a Binary Tree,verify-preorder-serialization-of-a-binary-tree,"String,Stack,Tree,Binary Tree",Medium,
332,Reconstruct Itinerary,reconstruct-itinerary,"Depth-First Search,Graph,Eulerian Circuit",Hard,"2051,2201"
333,Largest BST Subtree,largest-bst-subtree,"Dynamic Programming,Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,
334,Increasing Triplet Subsequence,increasing-triplet-subsequence,"Array,Greedy",Medium,"300,2122,2280"
335,Self Crossing,self-crossing,"Array,Math,Geometry",Hard,
336,Palindrome Pairs,palindrome-pairs,"Array,Hash Table,String,Trie",Hard,"5,214,2237"
337,House Robber III,house-robber-iii,"Dynamic Programming,Tree,Depth-First Search,Binary Tree",Medium,"198,213"
338,Counting Bits,counting-bits,"Dynamic Programming,Bit Manipulation",Easy,191
339,Nested List Weight Sum,nested-list-weight-sum,"Depth-First Search,Breadth-First Search",Medium,"364,565,690"
340,Longest Substring with At Most K Distinct Characters,longest-substring-with-at-most-k-distinct-characters,"Hash Table,String,Sliding Window",Medium,"3,159,424,1034,1046,2134"
341,Flatten Nested List Iterator,flatten-nested-list-iterator,"Stack,Tree,Depth-First Search,Design,Queue,Iterator",Medium,"251,281,385,565"
342,Power of Four,power-of-four,"Math,Bit Manipulation,Recursion",Easy,"231,326"
343,Integer Break,integer-break,"Math,Dynamic Programming",Medium,1936
344,Reverse String,reverse-string,"Two Pointers,String,Recursion",Easy,"345,541"
345,Reverse Vowels of a String,reverse-vowels-of-a-string,"Two Pointers,String",Easy,"344,1089"
346,Moving Average from Data Stream,moving-average-from-data-stream,"Array,Design,Queue,Data Stream",Easy,2211
347,Top K Frequent Elements,top-k-frequent-elements,"Array,Hash Table,Divide and Conquer,Sorting,Heap (Priority Queue),Bucket Sort,Counting,Quickselect",Medium,"192,215,451,659,692,1014,1919"
348,Design Tic-Tac-Toe,design-tic-tac-toe,"Array,Hash Table,Design,Matrix",Medium,810
349,Intersection of Two Arrays,intersection-of-two-arrays,"Array,Hash Table,Two Pointers,Binary Search,Sorting",Easy,"350,1149,1392,2190,2282"
350,Intersection of Two Arrays II,intersection-of-two-arrays-ii,"Array,Hash Table,Two Pointers,Binary Search,Sorting",Easy,"349,1044,1392,2282"
351,Android Unlock Patterns,android-unlock-patterns,"Dynamic Programming,Backtracking",Medium,
352,Data Stream as Disjoint Intervals,data-stream-as-disjoint-intervals,"Binary Search,Design,Ordered Set",Hard,"228,436,715"
353,Design Snake Game,design-snake-game,"Array,Design,Queue,Matrix",Medium,
354,Russian Doll Envelopes,russian-doll-envelopes,"Array,Binary Search,Dynamic Programming,Sorting",Hard,"300,2123"
355,Design Twitter,design-twitter,"Hash Table,Linked List,Design,Heap (Priority Queue)",Medium,1640
356,Line Reflection,line-reflection,"Array,Hash Table,Math",Medium,"149,447"
357,Count Numbers with Unique Digits,count-numbers-with-unique-digits,"Math,Dynamic Programming,Backtracking",Medium,
358,Rearrange String k Distance Apart,rearrange-string-k-distance-apart,"Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting",Hard,"621,778,2300"
359,Logger Rate Limiter,logger-rate-limiter,"Hash Table,Design",Easy,362
360,Sort Transformed Array,sort-transformed-array,"Array,Math,Two Pointers,Sorting",Medium,1019
361,Bomb Enemy,bomb-enemy,"Array,Dynamic Programming,Matrix",Medium,"2192,2200"
362,Design Hit Counter,design-hit-counter,"Array,Hash Table,Binary Search,Design,Queue",Medium,359
363,Max Sum of Rectangle No Larger Than K,max-sum-of-rectangle-no-larger-than-k,"Array,Binary Search,Dynamic Programming,Matrix,Ordered Set",Hard,
364,Nested List Weight Sum II,nested-list-weight-sum-ii,"Stack,Depth-First Search,Breadth-First Search",Medium,"339,565"
365,Water and Jug Problem,water-and-jug-problem,"Math,Depth-First Search,Breadth-First Search",Medium,
366,Find Leaves of Binary Tree,find-leaves-of-binary-tree,"Tree,Depth-First Search,Binary Tree",Medium,
367,Valid Perfect Square,valid-perfect-square,"Math,Binary Search",Easy,"69,633"
368,Largest Divisible Subset,largest-divisible-subset,"Array,Math,Dynamic Programming,Sorting",Medium,
369,Plus One Linked List,plus-one-linked-list,"Linked List,Math",Medium,66
370,Range Addition,range-addition,"Array,Prefix Sum",Medium,"598,2385"
371,Sum of Two Integers,sum-of-two-integers,"Math,Bit Manipulation",Medium,2
372,Super Pow,super-pow,"Math,Divide and Conquer",Medium,50
373,Find K Pairs with Smallest Sums,find-k-pairs-with-smallest-sums,"Array,Heap (Priority Queue)",Medium,"378,719,2150"
374,Guess Number Higher or Lower,guess-number-higher-or-lower,"Binary Search,Interactive",Easy,"278,375,658"
375,Guess Number Higher or Lower II,guess-number-higher-or-lower-ii,"Math,Dynamic Programming,Game Theory",Medium,"294,374,464,658"
376,Wiggle Subsequence,wiggle-subsequence,"Array,Dynamic Programming,Greedy",Medium,2271
377,Combination Sum IV,combination-sum-iv,"Array,Dynamic Programming",Medium,39
378,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,"Array,Binary Search,Sorting,Heap (Priority Queue),Matrix",Medium,"373,668,719,802"
379,Design Phone Directory,design-phone-directory,"Array,Hash Table,Linked List,Design,Queue",Medium,1955
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,"Array,Hash Table,Math,Design,Randomized",Medium,381
381,Insert Delete GetRandom O(1) - Duplicates allowed,insert-delete-getrandom-o1-duplicates-allowed,"Array,Hash Table,Math,Design,Randomized",Hard,380
382,Linked List Random Node,linked-list-random-node,"Linked List,Math,Reservoir Sampling,Randomized",Medium,398
383,Ransom Note,ransom-note,"Hash Table,String,Counting",Easy,691
384,Shuffle an Array,shuffle-an-array,"Array,Math,Randomized",Medium,
385,Mini Parser,mini-parser,"String,Stack,Depth-First Search",Medium,"341,439,722"
386,Lexicographical Numbers,lexicographical-numbers,"Depth-First Search,Trie",Medium,
387,First Unique Character in a String,first-unique-character-in-a-string,"Hash Table,String,Queue,Counting",Easy,451
388,Longest Absolute File Path,longest-absolute-file-path,"String,Stack,Depth-First Search",Medium,
389,Find the Difference,find-the-difference,"Hash Table,String,Bit Manipulation,Sorting",Easy,136
390,Elimination Game,elimination-game,Math,Medium,
391,Perfect Rectangle,perfect-rectangle,"Array,Line Sweep",Hard,
392,Is Subsequence,is-subsequence,"Two Pointers,String,Dynamic Programming",Easy,"808,1051"
393,UTF-8 Validation,utf-8-validation,"Array,Bit Manipulation",Medium,
394,Decode String,decode-string,"String,Stack,Recursion",Medium,"471,726,1076"
395,Longest Substring with At Least K Repeating Characters,longest-substring-with-at-least-k-repeating-characters,"Hash Table,String,Divide and Conquer,Sliding Window",Medium,"2140,2209"
396,Rotate Function,rotate-function,"Array,Math,Dynamic Programming",Medium,
397,Integer Replacement,integer-replacement,"Dynamic Programming,Greedy,Bit Manipulation,Memoization",Medium,
398,Random Pick Index,random-pick-index,"Hash Table,Math,Reservoir Sampling,Randomized",Medium,"382,894,912"
399,Evaluate Division,evaluate-division,"Array,Depth-First Search,Breadth-First Search,Union Find,Graph,Shortest Path",Medium,
400,Nth Digit,nth-digit,"Math,Binary Search",Medium,
401,Binary Watch,binary-watch,"Backtracking,Bit Manipulation",Easy,"17,191"
402,Remove K Digits,remove-k-digits,"String,Stack,Greedy,Monotonic Stack",Medium,"321,738,1792,2305"
403,Frog Jump,frog-jump,"Array,Dynamic Programming",Hard,"1952,2262"
404,Sum of Left Leaves,sum-of-left-leaves,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,
405,Convert a Number to Hexadecimal,convert-a-number-to-hexadecimal,"Math,Bit Manipulation",Easy,
406,Queue Reconstruction by Height,queue-reconstruction-by-height,"Array,Greedy,Binary Indexed Tree,Segment Tree,Sorting",Medium,315
407,Trapping Rain Water II,trapping-rain-water-ii,"Array,Breadth-First Search,Heap (Priority Queue),Matrix",Hard,42
408,Valid Word Abbreviation,valid-word-abbreviation,"Two Pointers,String",Easy,"411,527,2184"
409,Longest Palindrome,longest-palindrome,"Hash Table,String,Greedy",Easy,"266,2237"
410,Split Array Largest Sum,split-array-largest-sum,"Array,Binary Search,Dynamic Programming,Greedy",Hard,"1056,1192,2242,2330"
411,Minimum Unique Word Abbreviation,minimum-unique-word-abbreviation,"String,Backtracking,Bit Manipulation",Hard,"320,408,527"
412,Fizz Buzz,fizz-buzz,"Math,String,Simulation",Easy,1316
413,Arithmetic Slices,arithmetic-slices,"Array,Dynamic Programming",Medium,"446,1752"
414,Third Maximum Number,third-maximum-number,"Array,Sorting",Easy,215
415,Add Strings,add-strings,"Math,String,Simulation",Easy,"2,43,1031"
416,Partition Equal Subset Sum,partition-equal-subset-sum,"Array,Dynamic Programming",Medium,"698,2108,2135,2162"
417,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,"Array,Depth-First Search,Breadth-First Search,Matrix",Medium,
418,Sentence Screen Fitting,sentence-screen-fitting,"String,Dynamic Programming,Simulation",Medium,2082
419,Battleships in a Board,battleships-in-a-board,"Array,Depth-First Search,Matrix",Medium,
420,Strong Password Checker,strong-password-checker,"String,Greedy,Heap (Priority Queue)",Hard,
421,Maximum XOR of Two Numbers in an Array,maximum-xor-of-two-numbers-in-an-array,"Array,Hash Table,Bit Manipulation,Trie",Medium,1826
422,Valid Word Square,valid-word-square,"Array,Matrix",Easy,"425,777"
423,Reconstruct Original Digits from English,reconstruct-original-digits-from-english,"Hash Table,Math,String",Medium,
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,"Hash Table,String,Sliding Window",Medium,"340,1046,2119,2134,2319"
425,Word Squares,word-squares,"Array,String,Backtracking,Trie",Hard,422
432,All O`one Data Structure,all-oone-data-structure,"Hash Table,Linked List,Design,Doubly-Linked List",Hard,
433,Minimum Genetic Mutation,minimum-genetic-mutation,"Hash Table,String,Breadth-First Search",Medium,127
434,Number of Segments in a String,number-of-segments-in-a-string,String,Easy,
435,Non-overlapping Intervals,non-overlapping-intervals,"Array,Dynamic Programming,Greedy,Sorting",Medium,452
436,Find Right Interval,find-right-interval,"Array,Binary Search,Sorting",Medium,352
437,Path Sum III,path-sum-iii,"Tree,Depth-First Search,Binary Tree",Medium,"112,113,666,687"
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,"Hash Table,String,Sliding Window",Medium,"242,567"
439,Ternary Expression Parser,ternary-expression-parser,"String,Stack,Recursion",Medium,"385,722,736"
440,K-th Smallest in Lexicographical Order,k-th-smallest-in-lexicographical-order,Trie,Hard,
441,Arranging Coins,arranging-coins,"Math,Binary Search",Easy,
442,Find All Duplicates in an Array,find-all-duplicates-in-an-array,"Array,Hash Table",Medium,448
443,String Compression,string-compression,"Two Pointers,String",Medium,"38,271,604,1241"
444,Sequence Reconstruction,sequence-reconstruction,"Array,Graph,Topological Sort",Medium,210
445,Add Two Numbers II,add-two-numbers-ii,"Linked List,Math,Stack",Medium,"2,1774"
446,Arithmetic Slices II - Subsequence,arithmetic-slices-ii-subsequence,"Array,Dynamic Programming",Hard,413
447,Number of Boomerangs,number-of-boomerangs,"Array,Hash Table,Math",Medium,356
448,Find All Numbers Disappeared in an Array,find-all-numbers-disappeared-in-an-array,"Array,Hash Table",Easy,"41,442,2107,2305"
449,Serialize and Deserialize BST,serialize-and-deserialize-bst,"String,Tree,Depth-First Search,Breadth-First Search,Design,Binary Search Tree,Binary Tree",Medium,"297,652,765"
450,Delete Node in a BST,delete-node-in-a-bst,"Tree,Binary Search Tree,Binary Tree",Medium,791
451,Sort Characters By Frequency,sort-characters-by-frequency,"Hash Table,String,Sorting,Heap (Priority Queue),Bucket Sort,Counting",Medium,"347,387,1741"
452,Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,"Array,Greedy,Sorting",Medium,"253,435"
453,Minimum Moves to Equal Array Elements,minimum-moves-to-equal-array-elements,"Array,Math",Medium,"462,2263,2273"
